"2020-00-06","5;37","5:47","7:06","13:05","16:26","19:00","20;13"
"2017-03-27","5:53","6:03","7:18","13:26","16:30","19:30","20:39"
"2017-03-28","5:53","6:03","7:18","13:26","16:29","19:29","20:39"
"2017-03-29","5:52","6:02","7:17","13:26","16:28","19:29","20:38"
"2017-03-30","5:52","6:02","7:17","13:25","16:27","19:29","20:38"
"2017-03-31","5:51","6:01","7:16","13:25","16:27","19:29","20:38"
"2017-04-01","5:51","6:01","7:16","13:25","16:26","19:29","20:38"
"2017-04-02","5:50","6:00","7:15","13:24","16:25","19:29","20:38"
"2017-04-03","5:50","6:00","7:15","13:24","16:24","19:28","20:38"
"2017-04-04","5:49","5:59","7:14","13:24","16:25","19:28","20:38"
"2017-04-05","5:49","5:59","7:14","13:24","16:25","19:28","20:38"
"2017-04-06","5:48","5:58","7:14","13:23","16:26","19:28","20:38"
"2017-04-07","5:48","5:58","7:13","13:23","16:26","19:28","20:38"
"2017-04-08","5:47","5:57","7:13","13:23","16:27","19:28","20:38"
"2017-04-09","5:47","5:57","7:12","13:22","16:27","19:28","20:37"
"2017-04-10","5:46","5:56","7:12","13:22","16:27","19:28","20:37"
"2017-04-11","5:46","5:56","7:11","13:22","16:28","19:27","20:37"
"2017-04-12","5:45","5:55","7:11","13:22","16:28","19:27","20:37"
"2017-04-13","5:45","5:55","7:11","13:21","16:29","19:27","20:37"
"2017-04-14","5:44","5:54","7:10","13:21","16:29","19:27","20:37"
"2017-04-15","5:44","5:54","7:10","13:21","16:29","19:27","20:37"
"2017-04-16","5:43","5:53","7:10","13:21","16:30","19:27","20:37"
"2017-04-17","5:43","5:53","7:09","13:20","16:30","19:27","20:37"
"2017-04-18","5:43","5:53","7:09","13:20","16:31","19:27","20:37"
"2017-04-19","5:42","5:52","7:08","13:20","16:31","19:27","20:37"
"2017-04-20","5:42","5:52","7:08","13:20","16:31","19:27","20:37"
"2017-04-21","5:41","5:51","7:08","13:20","16:32","19:27","20:37"
"2017-04-22","5:41","5:51","7:07","13:19","16:32","19:26","20:37"
"2017-04-23","5:40","5:50","7:07","13:19","16:32","19:26","20:38"
"2017-04-24","5:40","5:50","7:07","13:19","16:33","19:26","20:38"
"2017-04-25","5:39","5:49","7:06","13:19","16:33","19:26","20:38"
"2017-04-26","5:39","5:49","7:06","13:19","16:33","19:26","20:38"
"2017-04-27","5:39","5:49","7:06","13:19","16:34","19:26","20:38"
"2017-04-28","5:38","5:48","7:06","13:18","16:34","19:26","20:38"
"2017-04-29","5:38","5:48","7:05","13:18","16:34","19:26","20:38"
"2017-04-30","5:37","5:47","7:05","13:18","16:34","19:26","20:38"
"2017-05-01","5:37","5:47","7:05","13:18","16:35","19:26","20:38"
"2017-05-02","5:37","5:47","7:05","13:18","16:35","19:26","20:38"
"2017-05-03","5:36","5:46","7:04","13:18","16:35","19:26","20:39"
"2017-05-04","5:36","5:46","7:04","13:18","16:36","19:26","20:39"
"2017-05-05","5:36","5:46","7:04","13:18","16:36","19:26","20:39"
"2017-05-06","5:35","5:45","7:04","13:17","16:36","19:26","20:39"
"2017-05-07","5:35","5:45","7:04","13:17","16:36","19:26","20:39"
"2017-05-08","5:35","5:45","7:03","13:17","16:37","19:27","20:39"
"2017-05-09","5:34","5:44","7:03","13:17","16:37","19:27","20:40"
"2017-05-10","5:34","5:44","7:03","13:17","16:37","19:27","20:40"
"2017-05-11","5:34","5:44","7:03","13:17","16:38","19:27","20:40"
"2017-05-12","5:34","5:44","7:03","13:17","16:38","19:27","20:40"
"2017-05-13","5:33","5:43","7:03","13:17","16:38","19:27","20:40"
"2017-05-14","5:33","5:43","7:03","13:17","16:38","19:27","20:41"
"2017-05-15","5:33","5:43","7:02","13:17","16:39","19:27","20:41"
"2017-05-16","5:33","5:43","7:02","13:17","16:39","19:27","20:41"
"2017-05-17","5:33","5:43","7:02","13:17","16:39","19:27","20:41"
"2017-05-18","5:32","5:42","7:02","13:17","16:40","19:28","20:42"
"2017-05-19","5:32","5:42","7:02","13:17","16:40","19:28","20:42"
"2017-05-20","5:32","5:42","7:02","13:17","16:40","19:28","20:42"
"2017-05-21","5:32","5:42","7:02","13:17","16:41","19:28","20:42"
"2017-05-22","5:32","5:42","7:02","13:18","16:41","19:28","20:43"
"2017-05-23","5:32","5:42","7:02","13:18","16:41","19:28","20:43"
"2017-05-24","5:32","5:42","7:02","13:18","16:41","19:29","20:43"
"2017-05-25","5:32","5:42","7:02","13:18","16:42","19:29","20:43"
"2017-05-26","5:31","5:41","7:02","13:18","16:42","19:29","20:44"
"2017-05-27","5:31","5:41","7:02","13:18","16:42","19:29","20:44"
"2017-05-28","5:31","5:41","7:02","13:18","16:43","19:29","20:44"
"2017-05-29","5:31","5:41","7:02","13:18","16:43","19:30","20:45"
"2017-05-30","5:31","5:41","7:02","13:18","16:43","19:30","20:45"
"2017-05-31","5:31","5:41","7:03","13:19","16:43","19:30","20:45"
"2017-06-01","5:31","5:41","7:03","13:19","16:44","19:30","20:46"
"2017-06-02","5:31","5:41","7:03","13:19","16:44","19:30","20:46"
"2017-06-03","5:31","5:41","7:03","13:19","16:44","19:31","20:46"
"2017-06-04","5:31","5:41","7:03","13:19","16:45","19:31","20:46"
"2017-06-05","5:31","5:41","7:03","13:19","16:45","19:31","20:47"
"2017-06-06","5:31","5:41","7:03","13:20","16:45","19:31","20:47"
